Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
11;Tammy Abraham;ENG;FW;Roma;Serie A;25;1997;22;18;1582;17.6;6;2.67;1.25;46.8;0.13;0.27;11.6;0;0;0;13.7;20.1;68.6;194.8;49.3;8.13;10.4;78.1;4.03;6.42;62.8;0.91;1.31;69.6;0.17;1.42;0.63;0.63;0.06;2.1;20.1;18.4;1.48;0.06;0.11;0.06;0.28;0.06;0;0;0;0;13.7;0.17;0.28;3.07;1.99;0;0.23;0.57;0.28;0;0.51;0.23;0;0.06;0.17;0.06;0;0.74;0.4;0.17;0.34;0.23;0.23;0.68;33.3;0.45;0.51;0.23;0.28;0.17;0.91;0.45;0;31.6;0.74;2.1;16.5;13.5;4.83;31.6;3.01;0.8;26.4;1.7;56.6;16.8;89.8;35.9;1.42;0.97;0.63;2.33;1.31;24.5;5;0.06;0;0;1.31;2.05;0.51;0.28;0.4;0.06;0;0;1.87;2.56;2.39;51.7
12;Francesco Acerbi;ITA;DF;Inter;Serie A;35;1988;14;12;1110;12.3;0;0.49;0;0;0;0;17.8;0;0;0;51.7;58.9;87.7;975.9;312;18.9;20.5;92.1;25.8;28.6;90.1;6.02;8.13;74;0.08;0.49;3.09;0.24;0;3.58;58.9;55.7;3.17;2.11;0;0.73;0.24;0.57;0;0;0;0;51.7;0.08;0.16;0.98;0.81;0.08;0;0.08;0;0;0;0;0;0;0;0;0;1.3;0.57;1.14;0.16;0;0.81;0.98;83.3;0.16;0.57;0.33;0.24;0.98;2.28;3.33;0;67.2;8.21;30.4;34.4;2.85;0.49;67.2;0.16;0;0;0.08;50;36.7;184.3;96.6;1.06;0.89;0.08;0.57;0.24;44.2;0.24;0.24;0;0;0.73;0.73;0.08;0.24;0.57;0;0;0;4.96;2.76;1.63;63
13;Mohamed Achi;FRA;FW;Nantes;Ligue 1;21;2002;2;0;36;0.4;0;2.5;0;0;0;0;26.1;0;0;0;45;52.5;8.57E+01;685;190;17.5;17.5;100;25;30;83.3;0;2.5;0;0;2.5;2.5;0;0;7.5;52.5;50;2.5;0;0;0;2.5;0;2.5;0;2.5;0;45;0;0;2.5;2.5;0;0;0;0;0.00E+00;0;0;0;0;0;0;0;2.5;2.5;2.5;0;0;2.5;2.5;100;0;0;0.00E+00;0;0;2.5;0;0;62.5;0;10;27.5;25;0;62.5;2.5;0;0;2.5;1.00E+02;52.5;335;187.5;5;5;0;0;2.5;47.5;2.5;0;0;0;5;0;0;2.5;2.5;0;0;0;5;0;0;0
14;Marcos Acuña;ARG;DF;Sevilla;La Liga;31;1991;16;12;985;10.9;2;1.47;0.37;25;0.13;0.5;26.5;0.09;0;0;46.5;62.9;73.9;874.2;327.3;22.1;24.8;89.3;17.2;22.4;77;6.42;13.3;48.3;0.09;1.93;2.39;2.2;1.1;4.77;62.9;50.3;12.6;2.57;0.28;0.92;7.61;8.07;1.93;0.46;1.1;0;46.5;0.09;0.73;3.03;2.11;0.64;0;0.28;0;0;0.18;0.18;0;0;0;0;0;3.3;1.74;1.93;1.01;0.37;1.83;2.57;71.4;0.73;1.01;0.46;0.55;1.47;4.77;1.28;0;74.4;3.49;20.1;32.1;22.9;1.65;74.4;2.11;0.64;30.4;1.1;52.2;40.4;189.2;98.4;2.02;1.56;0.28;1.56;1.38;43.9;4.68;0.46;0.09;0;1.65;1.65;0.09;7.61;1.74;0;0.09;0;7.52;1.19;0.92;56.5
15;Che Adams;SCO;FW;Southampton;Premier League;26;1996;21;18;1577;17.5;4;2.06;0.74;36.1;0.11;0.31;14.5;0;0;0;14.6;22.2;65.8;206.9;48.1;9.26;12.5;74.3;3.14;4.97;63.2;1.26;1.77;71;0.11;1.2;0.97;0.57;0.11;1.31;22.2;21.8;0.34;0;0.11;0.4;0.51;0.23;0;0;0;0;14.6;0.06;0.8;2.63;2.06;0.06;0.06;0.23;0.23;0;0.29;0.17;0;0;0;0.11;0;0.86;0.69;0.34;0.4;0.11;0.4;0.51;77.8;0.11;0.51;0.17;0.34;0.23;1.09;1.03;0;32.6;1.26;2.97;13;17.2;4.74;32.6;1.43;0.63;44;0.63;44;18;73.8;21.9;0.69;0.51;0.46;3.43;0.91;25;4.57;0;0;0;1.77;1.03;0.4;0.51;0.69;0;0;0;2.29;2.97;5.03;37.1
16;Tyler Adams;USA;MF;Leeds United;Premier League;23;1999;19;19;1706;19;0;0.11;0;0;0;0;29.4;0;0;0;47.1;57.4;82;715.1;220.9;25.7;29.2;87.9;16.8;19.9;84.7;2.84;4.74;60;0;1.21;4.37;0.63;0;5.84;57.4;54.3;3.16;2.47;0.05;0.05;0.11;0.68;0;0;0;0;47.1;0;1;1.84;1.79;0;0;0;0.05;0;0.05;0.05;0;0;0;0;0;4.11;2;2.05;1.68;0.37;2.21;3.16;70;0.95;1.84;0.32;1.53;1.42;5.53;1.16;0;69.4;1.53;15.4;43.2;11.3;0.16;69.4;0.89;0.16;17.6;0.58;64.7;35.2;137.1;62.5;0.68;1;0;1.16;0.68;39.6;0.95;0.26;0.05;0.05;1.74;1.05;0.05;0.11;2;0;0;0;8.68;0.89;0.63;58.6
17;Sargis Adamyan;ARM;FWMF;Köln;Bundesliga;29;1993;16;3;471;5.2;1;3.46;1.73;50;0.06;0.11;13.7;0;0;0;18.1;25;72.3;301.2;73.5;9.04;10.6;85.5;7.31;10;73.1;1.54;2.31;66.7;0.19;1.35;0.96;1.92;0.38;3.65;25;22.1;2.69;0;0.19;0.19;1.92;1.15;0;0;0;0;18.1;0.19;0.38;3.27;2.5;0;0;0.77;0;0;0.38;0.19;0;0;0.19;0;0;1.92;1.15;0.77;0.38;0.77;0.77;1.92;40;1.15;1.35;0;1.35;0.38;2.31;0.58;0;42.7;0.77;4.23;17.7;21.9;7.69;42.7;4.04;0.77;19;2.69;66.7;24;135.2;52.3;1.54;0.96;0.77;3.65;2.69;27.7;8.65;0.38;0;0;2.31;0.77;0.58;1.92;1.15;0;0;0;5.38;1.54;3.85;28.6
18;Tosin Adarabioyo;ENG;DF;Fulham;Premier League;25;1997;14;12;1095;12.2;1;0.33;0.16;50;0.25;0.5;16.4;0;0;0;38.9;48.5;80.1;808.6;296.6;9.59;11;87.3;25.2;28.4;88.5;3.77;7.79;48.4;0;0.08;2.38;0.16;0;2.95;48.5;46.1;2.13;1.72;0;0.49;0.08;0.33;0;0;0;0;38.9;0.33;0.57;0.41;0.41;0;0;0;0;0;0;0;0;0;0;0;0;1.07;0.41;0.82;0.16;0.08;0.49;0.74;66.7;0.25;0.82;0.66;0.16;1.07;2.13;5.33;0.08;58.1;9.51;31.6;25.5;1.48;0.25;58.1;0.25;0.16;66.7;0.08;33.3;28.9;156.6;95.9;0.49;0.66;0;0.16;0.25;35;0.08;0.16;0;0;0.66;0.25;0;0.08;0.41;0;0;0;4.67;2.13;0.41;83.9
19;Martin Adeline;FRA;MFFW;Reims;Ligue 1;19;2003;5;0;107;1.2;0;0.83;0;0;0;0;25.5;0;0;0;24.2;34.2;70.7;325;77.5;10;15;66.7;9.17;11.7;78.6;0.83;2.5;33.3;0;0;1.67;0;0;2.5;34.2;31.7;2.5;0.83;0;0;0;0.83;0.83;0;0;0;24.2;0;0.83;1.67;1.67;0;0;0;0;0;0;0;0;0;0;0;0;2.5;2.5;1.67;0.83;0;2.5;3.33;75;0.83;2.5;0.83;1.67;2.5;5;2.5;0;49.2;3.33;18.3;18.3;13.3;0.83;49.2;2.5;0.83;33.3;1.67;66.7;25.8;144.2;69.2;0.83;0;0;3.33;1.67;22.5;0.83;1.67;0;0;4.17;0;0;0;2.5;0;0;0;9.17;5;4.17;54.5
20;Karim Adeyemi;GER;FWMF;Dortmund;Bundesliga;21;2002;15;11;765;8.5;2;2.24;0.94;42.1;0.11;0.25;17.9;0;0;0;24.2;32.9;73.6;303.1;86.6;14.9;18;83;6.35;8.12;78.3;0.71;1.76;40;0.12;1.41;1.41;1.29;0;2.94;32.9;31.4;1.41;0.35;0;0.12;1.76;0.47;0.59;0.59;0;0;24.2;0.12;1.53;3.65;2.71;0;0.12;0.35;0.35;0.12;0.59;0.47;0;0;0.12;0;0;1.18;0.71;0.35;0.47;0.35;0.71;2.12;33.3;1.41;1.18;0;1.18;0.71;1.88;0.12;0;48.1;0.71;4.71;18.6;25.8;3.88;48.1;5.41;1.53;28.3;2.71;50;31.3;206.2;80.1;2.35;2.12;0.94;3.88;1.76;33.5;8.59;0.59;0;0;1.29;2;0;1.76;0.71;0;0;0;4.94;0.82;0.24;77.8
21;Amine Adli;FRA;FW;Leverkusen;Bundesliga;22;2000;13;6;652;7.2;1;1.94;0.69;35.7;0.07;0.2;12.3;0;0;0;26.3;33.1;79.4;358.1;81.1;16.1;19.4;82.9;7.36;8.06;91.4;1.25;2.08;60;0.28;1.39;2.22;0.56;0;3.47;33.1;31.1;1.53;0.14;0.28;0.28;0.83;0.42;0.56;0;0.28;0;26.3;0.42;1.11;2.64;1.81;0.28;0.14;0.14;0.14;0.14;0.42;0.28;0;0.14;0;0;0;1.53;1.11;0.42;0.56;0.56;0.42;1.11;37.5;0.69;2.08;0.28;1.81;0.42;1.94;0.56;0;48.3;0.69;5.56;23.6;19.4;4.44;48.3;2.64;1.11;42.1;1.25;47.4;27.8;151.8;74.4;2.5;1.39;0.69;4.72;1.67;36.1;8.61;0.14;0;0;3.33;2.78;0.28;0.83;1.11;0;0;0;3.75;1.53;2.22;40.7
22;Yacine Adli;FRA;MFFW;Milan;Serie A;22;2000;4;1;116;1.3;0;1.54;1.54;100;0;0;18.5;0;0;0;29.2;46.2;63.3;512.3;166.2;14.6;18.5;79.2;9.23;13.8;66.7;3.85;8.46;45.5;0;0.77;3.08;1.54;0;6.15;46.2;44.6;1.54;0.77;0;0.77;3.08;0.77;0;0;0;0;29.2;0;3.08;0.77;0.77;0;0;0;0;0;0;0;0;0;0;0;0;4.62;2.31;1.54;3.08;0;1.54;1.54;100;0;1.54;0;1.54;0.77;5.38;0.77;0;60;0.77;8.46;29.2;24.6;0.77;60;0.77;0.77;100;0;0;33.8;217.7;108.5;3.85;3.08;0;1.54;1.54;44.6;5.38;0.77;0;0;2.31;0.77;0;3.08;2.31;0;0;0;3.85;0;2.31;0
23;Michel Aebischer;SUI;FWMF;Bologna;Serie A;26;1997;18;8;775;8.6;1;1.16;0.23;20;0.1;0.5;15.4;0.12;0;0;32.6;39.8;81.9;497.3;150;18;20.1;89.6;11.4;13.3;86;2.33;3.84;60.6;0;0.93;2.21;0.12;0;2.56;39.8;37.9;1.51;0.58;0;0.23;1.05;0.58;0.23;0;0.23;0;32.6;0.35;1.05;2.21;1.51;0.23;0.12;0.23;0.12;0;0.23;0;0;0;0.12;0.12;0;0.47;0.12;0.23;0;0.23;0.12;0.58;20;0.47;1.28;0.23;1.05;0.35;0.81;0.7;0;47.2;1.05;9.53;22.7;15.1;1.86;47.2;0.47;0.12;25;0.35;75;27.7;109.5;49.9;0.81;0.7;0.23;1.74;1.16;35.8;5;0.35;0;0;1.16;1.63;0.58;1.05;0.12;0.12;0.12;0;5;0.58;1.05;35.7
24;Felix Afena-Gyan;GHA;FWMF;Cremonese;Serie A;20;2003;12;2;359;4;0;2.5;0.25;10;0;0;16.4;0;0;0;17.8;22.5;78.9;234.3;26.5;12.3;13.8;89.1;4;5;80;0.75;1.25;60;0;0.25;0.75;0;0;1.5;22.5;21.8;0.75;0;0;0.25;0.75;0.5;0;0;0;0;17.8;0;0.5;1.75;1.5;0;0;0.25;0;0;0;0;0;0;0;0;0;1;0.5;0.75;0.25;0;0.25;0.25;100;0;0.25;0;0.25;0;1;0.75;0;34.3;1.25;4.75;11;19;4.25;34.3;2;0.5;25;1;50;22.3;146;62.8;3.5;1.25;0.5;4;2;24.8;8;0.25;0;0;2;1;1;0.75;0.5;0;0;0;4.25;2;4;33.3
25;Emmanuel Agbadou;CIV;DF;Reims;Ligue 1;25;1997;19;18;1599;17.8;0;0.79;0.11;14.3;0;0;15.4;0;0;0;43.4;50.8;85.4;900.9;316.7;13.1;14.7;88.9;23;25.1;91.7;6.8;9.83;69.1;0.11;0.34;3.2;0.45;0;3.31;50.8;48.5;2.25;2.08;0.22;0.67;0;0.11;0;0;0;0;43.4;0.11;0.34;1.18;0.96;0.06;0;0.17;0;0;0.17;0.11;0;0;0.06;0;0;2.58;1.63;2.02;0.56;0;1.57;2.3;68.3;0.73;1.12;0.51;0.62;1.18;3.76;4.33;0.11;62.3;8.48;32.9;27.5;2.53;0.73;62.3;0.39;0.22;57.1;0.17;42.9;43.5;264.2;134.4;0.62;0.67;0.11;0.84;0.51;37;0.28;0.11;0.11;0;1.01;0.28;0;0;1.63;0;0;0;8.2;1.85;1.35;57.9
26;Lucien Agoume;FRA;MF;Troyes;Ligue 1;21;2002;5;4;286;3.2;0;0.31;0;0;0;0;12.4;0;0;0;47.5;57.2;83.1;832.2;203.1;20.9;24.1;87;18.4;21.3;86.8;6.25;8.75;71.4;0;0.63;3.13;0.94;0.31;5.94;57.2;55;1.88;1.25;0;0.94;0.94;0.31;0.31;0.31;0;0;47.5;0.31;0.94;1.56;1.56;0;0;0;0;0;0;0;0;0;0;0;0;4.38;2.19;1.88;1.25;1.25;1.56;2.19;71.4;0.63;0.63;0.31;0.31;1.88;6.25;1.25;0;69.7;3.13;20.3;36.3;13.4;1.25;69.7;1.56;0.63;40;0.31;20;52.5;275.6;113.1;1.25;1.88;0;0.63;0.94;48.8;0.31;0.63;0;0;2.19;1.56;0.31;0.94;2.19;0;0;0;5.63;3.13;0.63;83.3
27;Felix Agu;GER;DFFW;Werder Bremen;Bundesliga;23;1999;3;0;49;0.5;0;2;0;0;0;0;15.9;0;0;0;32;50;64;598;288;8;10;80;18;20;90;4;12;33.3;0;2;2;2;0;4;50;38;12;0;0;0;2;12;0;0;0;0;32;0;4;8;6;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;66;2;14;26;28;4;66;6;0;0;4;66.7;38;330;48;0;4;0;2;4;38;4;0;0;0;6;6;0;2;0;0;2;0;6;2;2;50
28;Álvaro Aguado;ESP;MF;Valladolid;La Liga;26;1996;19;12;1130;12.6;0;0.71;0.16;22.2;0;0;25.4;0;0;0;44.2;53.3;83;902.9;248.3;16.7;19;88.3;17.7;20.2;87.5;8.57;11.7;73;0.16;1.43;5.32;0.48;0.08;6.51;53.3;49.5;3.73;2.22;0.24;1.98;2.22;0.24;1.27;0.08;0.87;0;44.2;0;0.63;3.17;2.54;0.48;0;0;0.16;0;0.32;0.16;0.16;0;0;0;0;0.95;0.48;0.48;0.32;0.16;0.71;1.11;64.3;0.4;0.87;0.24;0.63;0.63;1.59;0.56;0;59.8;1.27;12.9;34.1;13.6;0.63;59.8;1.03;0.48;46.2;0.24;23.1;38.8;249.7;102.4;1.35;1.9;0.08;1.03;0.24;42.6;1.75;0.16;0;0;0.48;1.27;0;2.22;0.48;0;0.08;0;5.71;0.95;1.03;48
29;Kevin Agudelo;COL;MFFW;Spezia;Serie A;24;1998;21;16;1443;16;0;1.13;0.31;27.8;0;0;20.5;0;0;0;19.6;27.8;70.6;297.8;103.3;11.1;13.9;79.4;6.38;8.31;76.7;1.19;2.19;54.3;0;0.88;2.44;1;0.06;4.31;27.8;26.6;0.88;0.13;0.13;0.06;1.31;0.25;0.31;0.19;0.13;0;19.6;0.31;1.19;1.88;1.31;0.06;0.19;0.19;0.13;0;0.13;0.06;0;0;0;0.06;0;2.94;1.38;0.88;1.25;0.81;1.13;2.75;40.9;1.63;1.75;0.25;1.5;0.44;3.38;0.13;0;41.8;0.5;6.25;19.6;17.3;2.06;41.8;3.38;1.38;40.7;1.63;48.1;23.9;173.9;94.6;2.88;2.38;0.69;2.63;2.44;25.4;3.88;0.13;0;0;1.63;1.75;0.13;1.31;1.38;0;0;0;5.69;0.56;1.25;31
30;Nayef Aguerd;MAR;DF;West Ham;Premier League;26;1996;6;5;515;5.7;0;0.88;0;0;0;0;8.9;0;0;0;30.9;39.5;78.2;633.2;283.3;10;10.9;91.9;16.5;19.5;84.7;4.04;8.07;50;0;0.18;1.93;0.35;0;1.58;39.5;37.7;1.4;1.4;0;0.88;0;0;0;0;0;0;30.9;0.35;0.35;0.18;0.18;0;0;0;0;0;0;0;0;0;0;0;0;2.28;1.58;1.58;0.7;0;1.23;1.58;77.8;0.35;1.23;1.05;0.18;1.05;3.33;4.39;0;50.5;6.32;26;23.3;1.58;1.05;50.5;0.18;0.18;100;0;0;27.7;105.1;51.2;0.18;0;0;0.53;0;30.2;0.35;0.53;0;0;0.7;0.7;0.18;0;1.58;0;0;0;5.26;1.75;1.05;62.5
